geografia_key,ubigeo,dominio_cod,dominio,estrato_cod,estrato,latitud,longitud,altitud
4004,170302,7,Selva,5,De 2 000 a 19 999 habitantes,-11.406278857,-69.493286962,267.413575753
4005,170204,7,Selva,7,Área de Empadronamiento Rural compuesto,-12.983073333,-70.59139,350.0
4006,170204,7,Selva,7,Área de Empadronamiento Rural compuesto,-13.012593333,-70.659838333,324.0
4007,170102,7,Selva,7,Área de Empadronamiento Rural compuesto,-13.076136667,-70.359398333,346.0
4008,170102,7,Selva,7,Área de Empadronamiento Rural compuesto,-13.090528334,-70.39145,331.0
4009,170201,7,Selva,6,De 500 a 1 999 habitantes,-12.83351636,-71.366952649,520.673591134
4010,180101,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.205971936,-70.938204466,1426.01871759
4011,180101,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.202163313,-70.936234113,1446.01899194
4012,180101,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.192315569,-70.934497962,1408.68408342
4013,180101,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.194121889,-70.940967981,1426.01591302
4014,180101,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.19267936,-70.950054059,1367.75649644
4015,180301,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.643967244,-71.3387157,57.4273512824
4016,180301,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.65646834,-71.31396937,185.755232903
4017,180301,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.656922645,-71.34621877,55.332762348
4018,180301,3,Costa Sur,3,De 50 000 a 99 999 habitantes,-17.630562709,-71.328593374,165.198992677
4019,180302,3,Costa Sur,5,De 2 000 a 19 999 habitantes,-17.636076687,-71.307451735,203.039493587
4020,180106,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-17.066809999,-70.783190328,3332.48740513
4021,180102,6,Sierra Sur,6,De 500 a 1 999 habitantes,-16.821404281,-70.671423132,3313.68397021
4022,180204,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-16.130365,-70.551566667,3906.0
4023,190101,5,Sierra Centro,3,De 50 000 a 99 999 habitantes,-10.683321687,-76.251378267,4339.31040331
4024,190101,5,Sierra Centro,3,De 50 000 a 99 999 habitantes,-10.689782104,-76.241350329,4406.56232445
4025,190109,5,Sierra Centro,3,De 50 000 a 99 999 habitantes,-10.67234698,-76.267741601,4314.57778808
4026,190201,5,Sierra Centro,5,De 2 000 a 19 999 habitantes,-10.46836798,-76.50187262,3541.16880717
4027,190207,5,Sierra Centro,5,De 2 000 a 19 999 habitantes,-10.405982443,-76.462137229,3485.75026098
4028,190308,7,Selva,5,De 2 000 a 19 999 habitantes,-9.863994302,-75.011452117,246.184376475
4029,190301,7,Selva,5,De 2 000 a 19 999 habitantes,-10.574132424,-75.405988467,1805.54654555
4030,190307,7,Selva,8,Área de Empadronamiento Rural simple,-10.736017689,-75.230133131,1611.0
4031,190307,7,Selva,8,Área de Empadronamiento Rural simple,-10.736399352,-75.158488941,1349.0
4032,190307,7,Selva,7,Área de Empadronamiento Rural compuesto,-10.750269796,-75.270346873,1544.0
4033,190307,7,Selva,7,Área de Empadronamiento Rural compuesto,-10.763982793,-75.261426442,1555.0
4034,190304,7,Selva,8,Área de Empadronamiento Rural simple,-10.272525,-75.131936667,346.0
4035,190304,7,Selva,8,Área de Empadronamiento Rural simple,-10.259999351,-75.123035461,324.0
4036,190305,7,Selva,6,De 500 a 1 999 habitantes,-10.072917301,-75.550332688,741.793327247
4037,200115,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-5.179714633,-80.686917472,31.9868361716
4038,200115,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-5.197623733,-80.642985208,36.6497052511
4039,200101,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-5.197371668,-80.629792346,35.4115948885
4040,200101,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-5.152082197,-80.657919293,47.9892047096
4041,200101,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-5.164885531,-80.632888356,34.7053148112
4042,200501,1,Costa Norte,3,De 50 000 a 99 999 habitantes,-5.28139307,-81.124638722,37.6645687775
4043,200505,1,Costa Norte,5,De 2 000 a 19 999 habitantes,-4.917581637,-80.911614995,30.9618354446
4044,200105,1,Costa Norte,3,De 50 000 a 99 999 habitantes,-5.269485508,-80.667897395,21.9850161376
4045,200601,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-4.904776478,-80.70811556,65.4635476715
4046,200603,1,Costa Norte,4,De 20 000 a 49 999 habitantes,-4.847841917,-80.871389176,39.9674493484
4047,200801,1,Costa Norte,4,De 20 000 a 49 999 habitantes,-5.554358465,-80.819877778,8.02783103123
4048,200109,1,Costa Norte,4,De 20 000 a 49 999 habitantes,-5.343133993,-80.714393727,23.9695464871
4049,200607,1,Costa Norte,4,De 20 000 a 49 999 habitantes,-4.837222606,-80.642754444,56.0022270941
4050,200601,1,Costa Norte,2,De 100 000 a 499 999 habitantes,-4.897493723,-80.690463785,74.691360796
4051,200607,1,Costa Norte,4,De 20 000 a 49 999 habitantes,-4.844265707,-80.657918963,51.3811513672
4052,200111,1,Costa Norte,5,De 2 000 a 19 999 habitantes,-4.655057463,-80.245327357,244.183613197
4053,200304,4,Sierra Norte,5,De 2 000 a 19 999 habitantes,-5.575659781,-79.523827321,2125.60435882
4054,200114,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-4.89275,-80.413143333,100.0
4055,200202,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-4.929241667,-80.022151667,1332.0
4056,200202,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-4.931895,-80.019046667,1291.0
4057,200401,1,Costa Norte,7,Área de Empadronamiento Rural compuesto,-5.088528333,-80.238553333,103.0
4058,200403,4,Sierra Norte,7,Área de Empadronamiento Rural compuesto,-5.055003333,-79.844411667,1694.0
4059,200403,4,Sierra Norte,7,Área de Empadronamiento Rural compuesto,-5.071645,-79.87716,1154.0
4060,200403,4,Sierra Norte,8,Área de Empadronamiento Rural simple,-5.041351667,-79.829363333,1781.0
4061,210101,6,Sierra Sur,2,De 100 000 a 499 999 habitantes,-15.835233519,-70.03689738,3954.77383048
4062,210101,6,Sierra Sur,2,De 100 000 a 499 999 habitantes,-15.830223172,-70.030793288,3919.30267259
4063,210501,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-16.090558962,-69.633057519,3836.45713739
4064,211101,6,Sierra Sur,2,De 100 000 a 499 999 habitantes,-15.486631307,-70.159000205,3831.98005458
4065,211001,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-14.914653654,-69.859669091,3860.97279644
4066,210201,6,Sierra Sur,4,De 20 000 a 49 999 habitantes,-14.92077662,-70.19776095,3859.11067643
4067,211105,6,Sierra Sur,2,De 100 000 a 499 999 habitantes,-15.461367313,-70.126804761,3828.90628387
4068,210501,6,Sierra Sur,5,De 2 000 a 19 999 habitantes,-16.08477076,-69.647037386,3846.16977212
4069,210607,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-15.3101,-69.989153333,3837.0
4070,210607,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-15.302,-69.997658333,3830.0
4071,210701,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-15.332133333,-70.3343,3880.0
4072,210701,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-15.337303333,-70.365735,3878.0
4073,210809,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-14.802195,-70.7571,3933.0
4074,210105,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-15.524400528,-69.879206719,3880.0
4075,211307,6,Sierra Sur,7,Área de Empadronamiento Rural compuesto,-16.219128333,-68.981335,3838.0
4076,211210,7,Selva,7,Área de Empadronamiento Rural compuesto,-14.107406667,-69.057485,1124.0
4077,211210,7,Selva,7,Área de Empadronamiento Rural compuesto,-14.121933333,-69.06396,987.0
4078,220101,7,Selva,3,De 50 000 a 99 999 habitantes,-6.042408535,-76.980749551,866.665825812
4079,220101,7,Selva,3,De 50 000 a 99 999 habitantes,-6.026385721,-76.96820991,881.620308982
