vivienda_key,tipo_vivienda_cod,tipo_vivienda,material_pared_cod,material_pared,material_piso_cod,material_piso,material_techo_cod,material_techo,tenencia_vivienda_cod,tenencia_vivienda
130,4.0,Vivienda en casa de vecindad,1.0,Ladrillo o bloque de cemento,6.0,Tierra,1.0,Concreto armado,2,Propia totalmente pagada
131,1.0,Casa independiente,4.0,Tapia,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
132,1.0,Casa independiente,4.0,Tapia,4.0,Madera,3.0,Tejas,2,Propia totalmente pagada
133,1.0,Casa independiente,8.0,"Triplay, calamina o estera",4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
134,4.0,Vivienda en casa de vecindad,3.0,Adobe,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
135,1.0,Casa independiente,2.0,Piedra o sillar con cal o cemento,6.0,Tierra,1.0,Concreto armado,2,Propia totalmente pagada
136,5.0,Choza o cabaña,6.0,Piedra con barro,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
137,1.0,Casa independiente,6.0,Piedra con barro,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
138,1.0,Casa independiente,9.0,Otro material,4.0,Madera,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
139,1.0,Casa independiente,7.0,Madera,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
140,1.0,Casa independiente,3.0,Adobe,6.0,Tierra,2.0,Madera,6,Cedida por otro hogar o institución
141,2.0,Departamento en edificio,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,6,Cedida por otro hogar o institución
142,1.0,Casa independiente,3.0,Adobe,5.0,Cemento,1.0,Concreto armado,1,Alquilada
143,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,3.0,Tejas,5,Cedida por centro de trabajo
144,1.0,Casa independiente,8.0,"Triplay, calamina o estera",6.0,Tierra,4.0,"Planchas de calamina, fibra de cemento o similares",6,Cedida por otro hogar o institución
145,1.0,Casa independiente,1.0,Ladrillo o bloque de cemento,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
146,1.0,Casa independiente,6.0,Piedra con barro,5.0,Cemento,4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
147,3.0,Vivienda en quinta,1.0,Ladrillo o bloque de cemento,5.0,Cemento,1.0,Concreto armado,6,Cedida por otro hogar o institución
148,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,7.0,Paja u hojas de palmera,6,Cedida por otro hogar o institución
149,1.0,Casa independiente,4.0,Tapia,6.0,Tierra,7.0,Paja u hojas de palmera,2,Propia totalmente pagada
150,1.0,Casa independiente,4.0,Tapia,3.0,"Losetas, terrazos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",2,Propia totalmente pagada
151,1.0,Casa independiente,3.0,Adobe,2.0,"Láminas asfálticas, vinílicos o similares",4.0,"Planchas de calamina, fibra de cemento o similares",1,Alquilada
